comps,coverage,Seq
4708133,45.018,bowtie
4708185,7.33604888,bowtie
4708203,8.803212851,bowtie
4708207,14.44,bowtie
4708221,5.754,bowtie
4708225,75.69,bowtie
4708235,19.18292683,bowtie
4708239,4.088,bowtie
4708249,22.682,bowtie
4708279,5.424,bowtie
4708281,4.1724846,bowtie
4708285,10.014,bowtie
4708293,2.568,bowtie
4708295,16.48,bowtie
4708301,3.186,bowtie
4708317,8.750507099,bowtie
4708323,9.318930041,bowtie
4708325,5.716566866,bowtie
4708331,81.34730539,bowtie
4708345,32.17764471,bowtie
4708347,68.26946108,bowtie
4708349,6.165668663,bowtie
4708351,4.033932136,bowtie
4708359,12.50499002,bowtie
4708361,15.30339321,bowtie
4708365,4.349301397,bowtie
4708377,5.870259481,bowtie
4708381,54.01996008,bowtie
4708387,12.13052209,bowtie
4708389,37.21157685,bowtie
4708405,2.562874251,bowtie
4708407,4.834331337,bowtie
4708417,11.03992016,bowtie
4708433,24.21327968,bowtie
4708439,39.4491018,bowtie
4708459,4.928571429,bowtie
4708463,4.407258065,bowtie
4708469,7.669322709,bowtie
4708477,4.828629032,bowtie
4708489,6.475510204,bowtie
4708491,22.85458167,bowtie
4708493,6.918163673,bowtie
4708505,4.679089027,bowtie
4708507,9.167664671,bowtie
4708511,7.895178197,bowtie
4708539,4.503984064,bowtie
4708557,5.282868526,bowtie
4708561,7.603585657,bowtie
4708565,12.10159363,bowtie
4708573,16.19721116,bowtie
4708579,8.59561753,bowtie
4708581,3.987755102,bowtie
4708589,23.57285429,bowtie
4708597,6.72255489,bowtie
4708601,5.706967213,bowtie
4708623,4.491053678,bowtie
4708625,14.70422535,bowtie
4708633,4.343936382,bowtie
4708643,2.703777336,bowtie
4708659,4.96222664,bowtie
4708683,11.04771372,bowtie
4708699,5.095427435,bowtie
4708701,13.77534791,bowtie
4708705,4.166998012,bowtie
4708707,7.510934394,bowtie
4708709,7.021868787,bowtie
4708713,47.97614314,bowtie
4708729,10.98409543,bowtie
4708739,14.77733598,bowtie
4708763,14.36580517,bowtie
4708773,9.490039841,bowtie
4708781,7.972,bowtie
4708793,13.84095427,bowtie
4708857,5.036511156,bowtie
4708865,10.66666667,bowtie
4708867,8.862068966,bowtie
4708875,12.5041841,bowtie
4708877,8.920634921,bowtie
4708895,8.654761905,bowtie
4708909,25.375,bowtie
4708911,15.27579365,bowtie
4708913,3.285714286,bowtie
4708925,5.097029703,bowtie
4708927,6.743538767,bowtie
4708935,10.36633663,bowtie
4708937,6.425742574,bowtie
4708941,3.736633663,bowtie
4708953,6.524752475,bowtie
4708957,122.4237624,bowtie
4708967,6.425742574,bowtie
4708983,6.546534653,bowtie
4708985,9.855445545,bowtie
4708989,5.815841584,bowtie
4709011,6.146534653,bowtie
4709013,6.744554455,bowtie
4709017,5.079207921,bowtie
4709019,6.84950495,bowtie
4709035,18.08910891,bowtie
4709041,38.74751491,bowtie
4709057,5.396039604,bowtie
4709063,17.53769841,bowtie
4709091,7.283702213,bowtie
4709095,6.422924901,bowtie
4709101,7,bowtie
4709115,6.272727273,bowtie
4709123,5.816205534,bowtie
4709131,41.27667984,bowtie
4709135,16.90513834,bowtie
4709137,8.78458498,bowtie
4709141,6.224742268,bowtie
4709155,5.390873016,bowtie
4709163,15.36363636,bowtie
4709169,6.549407115,bowtie
4709173,54.08695652,bowtie
4709175,7.460474308,bowtie
4709185,21.46626984,bowtie
4709187,4.772727273,bowtie
4709191,2.872983871,bowtie
4709235,14.86982249,bowtie
4709247,5.67061144,bowtie
4709253,3.276134122,bowtie
4709255,5.786290323,bowtie
4709257,7.895463511,bowtie
4709261,5.317554241,bowtie
4709263,15.04536489,bowtie
4709271,19.34122288,bowtie
4709289,3.641025641,bowtie
4709299,7.753968254,bowtie
4709311,6.414201183,bowtie
4709315,7.75739645,bowtie
4709319,47.33925049,bowtie
4709327,5.467455621,bowtie
4709343,12.68888889,bowtie
4709359,29.1023622,bowtie
4709361,4.903543307,bowtie
4709373,9.169625247,bowtie
4709399,6.528827038,bowtie
4709403,33.12228797,bowtie
4709407,8.877952756,bowtie
4709409,7.734251969,bowtie
4709413,6.795275591,bowtie
4709421,16.08384458,bowtie
4709433,23.02165354,bowtie
4709437,6.938034188,bowtie
4709439,3.86023622,bowtie
4709443,12.73622047,bowtie
4709455,5.643700787,bowtie
4709457,3.856299213,bowtie
4709471,3.833333333,bowtie
4709473,13.78937008,bowtie
4709479,7.267326733,bowtie
4709481,9.503937008,bowtie
4709483,6.094488189,bowtie
4709491,7.143700787,bowtie
4709511,6.812992126,bowtie
4709513,7.146341463,bowtie
4709521,5.208661417,bowtie
4709523,5.478346457,bowtie
4709539,13.01574803,bowtie
4709559,5.7956778,bowtie
4709563,5.171259843,bowtie
4709569,34.83104126,bowtie
4709585,11.63564356,bowtie
4709593,8.756385069,bowtie
4709605,6.960707269,bowtie
4709617,4.895874263,bowtie
4709621,9.632612967,bowtie
4709643,11.09823183,bowtie
4709647,16.79527559,bowtie
4709649,19.39059305,bowtie
4709663,18.81925344,bowtie
4709687,3.866404715,bowtie
4709693,43.87376726,bowtie
4709701,22.97227723,bowtie
