comps,coverage,Seq
4708133,47.456,bwa
4708185,6.810590631,bwa
4708203,9.436,bwa
4708207,14.566,bwa
4708221,5.808,bwa
4708225,82.146,bwa
4708235,19.408,bwa
4708239,4.088,bwa
4708249,22.958,bwa
4708279,5.23,bwa
4708281,4.293139293,bwa
4708285,10.132,bwa
4708293,2.568,bwa
4708295,17.014,bwa
4708301,3.14,bwa
4708317,8.713995943,bwa
4708323,9.193347193,bwa
4708325,5.688622754,bwa
4708331,83.55289421,bwa
4708345,29.66666667,bwa
4708347,69.9759519,bwa
4708349,6.02994012,bwa
4708351,4.011976048,bwa
4708359,12.63672655,bwa
4708361,15.34131737,bwa
4708365,4.349301397,bwa
4708377,5.72255489,bwa
4708381,54.42914172,bwa
4708387,11.89959839,bwa
4708389,37.556,bwa
4708405,2.678642715,bwa
4708407,4.834331337,bwa
4708417,11.05988024,bwa
4708433,24.21126761,bwa
4708439,39.77245509,bwa
4708459,4.851020408,bwa
4708463,4.519920319,bwa
4708469,7.822709163,bwa
4708477,4.880478088,bwa
4708489,6.56122449,bwa
4708491,23.11354582,bwa
4708493,6.585657371,bwa
4708505,4.663346614,bwa
4708507,9.547808765,bwa
4708511,7.631578947,bwa
4708539,4.360557769,bwa
4708557,5.282868526,bwa
4708561,7.432270916,bwa
4708565,12.62549801,bwa
4708573,14.24900398,bwa
4708579,8.456175299,bwa
4708581,3.834661355,bwa
4708589,23.42629482,bwa
4708597,6.86163522,bwa
4708601,5.639442231,bwa
4708623,4.624254473,bwa
4708625,14.94035785,bwa
4708633,4.206759443,bwa
4708643,2.703777336,bwa
4708659,4.96222664,bwa
4708683,10.7972167,bwa
4708699,5.081510934,bwa
4708701,13.7833002,bwa
4708705,4.163306452,bwa
4708707,7.361829026,bwa
4708709,7.121272366,bwa
4708713,44.23446894,bwa
4708729,12.48707753,bwa
4708739,15.26838966,bwa
4708763,14.05189621,bwa
4708773,9.583665339,bwa
4708781,7.972,bwa
4708793,14.63419483,bwa
4708857,4.825396825,bwa
4708865,10.38955823,bwa
4708867,8.740365112,bwa
4708875,12.61715481,bwa
4708877,8.791666667,bwa
4708895,8.41468254,bwa
4708909,25.58333333,bwa
4708911,15.9484127,bwa
4708913,3.154761905,bwa
4708925,5.223762376,bwa
4708927,7.001980198,bwa
4708935,10.21584158,bwa
4708937,6.144554455,bwa
4708941,3.688391039,bwa
4708953,6.57029703,bwa
4708957,130.0277228,bwa
4708967,6.283168317,bwa
4708983,6.653608247,bwa
4708985,9.914851485,bwa
4708989,5.718811881,bwa
4709011,5.371769384,bwa
4709013,6.96039604,bwa
4709017,4.79009901,bwa
4709019,6.56039604,bwa
4709035,18.41386139,bwa
4709041,39.20634921,bwa
4709057,5.396039604,bwa
4709063,17.87722772,bwa
4709091,7.295774648,bwa
4709095,6.462450593,bwa
4709101,7,bwa
4709115,6.195652174,bwa
4709123,5.90513834,bwa
4709131,41.97826087,bwa
4709135,14.66003976,bwa
4709137,8.68972332,bwa
4709141,6.477366255,bwa
4709155,5.618644068,bwa
4709163,15.34199134,bwa
4709169,6.766798419,bwa
4709173,55.85573123,bwa
4709175,7.324110672,bwa
4709185,21.46414343,bwa
4709187,4.853754941,bwa
4709191,2.643863179,bwa
4709235,14.96414343,bwa
4709247,5.67061144,bwa
4709253,3.25443787,bwa
4709255,6.070422535,bwa
4709257,8.124260355,bwa
4709261,5.317554241,bwa
4709263,14.89940828,bwa
4709271,19.16765286,bwa
4709289,3.875739645,bwa
4709299,8.057199211,bwa
4709311,6.564102564,bwa
4709315,7.615384615,bwa
4709319,46.54832347,bwa
4709327,5.187376726,bwa
4709343,12.85996055,bwa
4709359,28.3976378,bwa
4709361,4.761811024,bwa
4709373,9.290060852,bwa
4709399,6.928429423,bwa
4709403,32.91929134,bwa
4709407,8.592519685,bwa
4709409,7.88976378,bwa
4709413,6.649606299,bwa
4709421,15.83070866,bwa
4709433,23.02362205,bwa
4709437,6.637795276,bwa
4709439,3.714566929,bwa
4709443,12.44685039,bwa
4709455,5.507874016,bwa
4709457,4.013779528,bwa
4709471,3.833333333,bwa
4709473,13.38076152,bwa
4709479,7.089108911,bwa
4709481,9.245544554,bwa
4709483,5.982213439,bwa
4709491,7.143700787,bwa
4709511,6.667322835,bwa
4709513,7.092519685,bwa
4709521,5.332677165,bwa
4709523,5.253937008,bwa
4709539,13.11591356,bwa
4709559,5.917485265,bwa
4709563,5.28125,bwa
4709569,35.31237721,bwa
4709585,11.6935167,bwa
4709593,8.536345776,bwa
4709605,6.913555992,bwa
4709617,4.752455796,bwa
4709621,9.709233792,bwa
4709643,10.99214145,bwa
4709647,17.51669941,bwa
4709649,20.401222,bwa
4709663,20.37721022,bwa
4709687,3.721021611,bwa
4709693,44.83300589,bwa
4709701,23.40275049,bwa
4709713,12.06862745,bwa
4709723,6.572834646,bwa
4709725,6.42745098,bwa
4709745,4.276470588,bwa
4709765,4.537254902,bwa
4709767,83.59215686,bwa
4709769,7.429411765,bwa
4709775,2.892712551,bwa
4709779,4.339215686,bwa
4709801,11.21626984,bwa
4709803,22.61372549,bwa
4709805,7.125490196,bwa
4709807,8.535294118,bwa
4709815,16.23529412,bwa
4709817,16.78346457,bwa
4709821,23.7372549,bwa
4709839,14.09019608,bwa
4709849,7.294117647,bwa
4709851,6.18627451,bwa
4709853,7.041832669,bwa
4709867,8.072978304,bwa
4709869,8.237623762,bwa
4709887,10.02380952,bwa
4709891,11.19765166,bwa
4709927,10.58893281,bwa
4709931,14.32093933,bwa
4709937,10.14677104,bwa
4709939,13.99013807,bwa
4709941,8.107632094,bwa
4709943,5.15851272,bwa
4709945,7.952,bwa
4709949,33.32876712,bwa
4709959,10.80430528,bwa
4709967,7.673189824,bwa
4709969,7.499021526,bwa
4709973,8.618395303,bwa
4709979,6.939334638,bwa
4709985,6.46183953,bwa
4709999,16.38356164,bwa
4710003,6.375733855,bwa
4710015,4.219178082,bwa
4710017,5.567073171,bwa
4710031,49.47851563,bwa
4710035,5.142578125,bwa
4710043,6.421588595,bwa
4710045,5.451171875,bwa
4710053,8.091836735,bwa
4710059,4.8125,bwa
4710061,5.958984375,bwa
4710071,9.2109375,bwa
4710093,4.3671875,bwa
4710099,8.205078125,bwa
4710101,10.90039063,bwa
4710103,8.3984375,bwa
4710107,9.982421875,bwa
4710123,9.811764706,bwa
4710125,8.78515625,bwa
4710143,9.394190871,bwa
4710151,12.25,bwa
4710155,4.66796875,bwa
4710169,12.17485265,bwa
4710179,34.73879142,bwa
4710195,6.916179337,bwa
4710199,4.976608187,bwa
4710231,6.95711501,bwa
4710245,11.15820313,bwa
4710247,3.668615984,bwa
4710261,5.385964912,bwa
4710277,4.234375,bwa
4710289,6.019493177,bwa
4710309,8.536062378,bwa
4710329,5.725146199,bwa
4710331,17.69785575,bwa
4710335,3.902534113,bwa
4710337,5.371541502,bwa
4710347,8.805447471,bwa
4710349,4.178988327,bwa
4710357,10.6692607,bwa
4710385,7.982490272,bwa
4710393,12.94552529,bwa
4710395,8.001945525,bwa
4710397,7.379377432,bwa
4710405,26.22178988,bwa
4710411,21.91634241,bwa
4710431,3.521400778,bwa
4710435,5.821011673,bwa
4710439,34.79961089,bwa
4710443,2.836575875,bwa
4710469,9.276679842,bwa
4710491,14.95652174,bwa
4710495,7.313840156,bwa
4710497,6.739299611,bwa
4710499,3.015564202,bwa
4710507,6.840466926,bwa
4710513,7.660194175,bwa
4710529,12.37548638,bwa
4710531,20.48932039,bwa
4710537,39.92038835,bwa
4710549,19.44660194,bwa
4710551,10.71456311,bwa
4710577,16.34174757,bwa
4710581,12.45526839,bwa
4710593,16.63654224,bwa
4710597,4.040776699,bwa
4710599,10.77317554,bwa
4710615,8.168932039,bwa
4710623,7.885214008,bwa
4710627,7.73592233,bwa
4710631,3.365758755,bwa
4710635,9.786407767,bwa
4710645,8.813592233,bwa
4710681,5.065891473,bwa
4710689,13.09126214,bwa
4710699,5.970930233,bwa
4710711,4.505813953,bwa
4710729,4.817829457,bwa
4710731,13.20155039,bwa
4710741,5.195736434,bwa
4710743,6.312015504,bwa
4710745,10.90310078,bwa
4710753,4.967054264,bwa
4710759,10.32945736,bwa
4710761,6.035864979,bwa
4710769,18.96899225,bwa
4710781,5.695736434,bwa
4710833,4.090909091,bwa
4710837,25.49709865,bwa
4710847,217.7601547,bwa
4710855,13.16441006,bwa
4710865,4.671232877,bwa
4710873,9.001934236,bwa
4710881,5.611218569,bwa
4710887,4.943359375,bwa
4710903,4.926499033,bwa
4710923,4.624758221,bwa
4710935,13.69825919,bwa
4710937,4.810444874,bwa
4710939,5.208897485,bwa
4710947,4.80270793,bwa
4710957,12.71760155,bwa
4710961,5.704061896,bwa
4710969,13.41505792,bwa
4710971,26.27659574,bwa
4710983,28.76833977,bwa
4710987,10.66216216,bwa
4710991,4.467181467,bwa
4710999,4.967181467,bwa
4711003,27.32879377,bwa
4711011,5.3996139,bwa
4711013,5.343629344,bwa
4711019,39.26254826,bwa
4711021,7.071428571,bwa
4711035,4.673745174,bwa
4711037,5.521235521,bwa
4711043,4.22972973,bwa
4711061,8.50533049,bwa
4711075,5.525096525,bwa
4711107,5.250965251,bwa
4711109,15.41119691,bwa
4711111,35.54247104,bwa
4711121,5.040540541,bwa
4711133,4.404624277,bwa
4711139,12.148,bwa
4711141,6.092485549,bwa
4711143,6.086705202,bwa
4711171,8.742454728,bwa
4711173,7.167630058,bwa
4711201,20.11695906,bwa
4711203,13.89320388,bwa
4711209,4.87283237,bwa
4711211,4.78805395,bwa
4711219,10.06563707,bwa
4711225,7.281310212,bwa
4711227,7.305668016,bwa
4711233,11.98073218,bwa
4711243,3.93647541,bwa
4711251,4.140655106,bwa
4711265,5.541425819,bwa
4711269,4.614643545,bwa
4711271,4.311608961,bwa
4711277,22.24855491,bwa
4711279,13.66473988,bwa
4711281,3.649903288,bwa
4711287,8.558766859,bwa
4711297,14.41923077,bwa
4711305,4.076923077,bwa
4711313,15.05384615,bwa
4711327,12.85,bwa
4711339,6.251923077,bwa
4711341,21.6088632,bwa
4711363,8.407692308,bwa
4711371,5.298076923,bwa
4711373,8.403846154,bwa
4711381,6.25631068,bwa
4711399,28.57115385,bwa
4711419,12.26730769,bwa
4711437,4.063461538,bwa
4711443,28.34615385,bwa
4711453,26.63269231,bwa
4711511,10.61996161,bwa
4711517,5.809980806,bwa
4711521,7.541266795,bwa
4711523,7.788867562,bwa
4711531,7.896353167,bwa
4711559,37.63915547,bwa
4711571,14.22884615,bwa
4711575,13.63339731,bwa
4711587,7.392354125,bwa
4711615,5.598848369,bwa
4711623,4.477011494,bwa
4711637,7.237547893,bwa
4711641,9.557471264,bwa
4711667,9.704980843,bwa
4711675,3.888888889,bwa
4711677,6.04789272,bwa
4711693,6.072796935,bwa
4711697,6.626436782,bwa
4711701,10.57197697,bwa
4711703,5.626436782,bwa
4711721,7.766283525,bwa
4711723,5.235632184,bwa
4711725,8.059386973,bwa
4711737,5.229885057,bwa
4711745,3.042145594,bwa
4711755,8.666666667,bwa
4711763,10.71455939,bwa
4711771,9.8,bwa
4711781,9.640535373,bwa
4711783,5.770554493,bwa
4711795,3.75334608,bwa
4711797,8.103250478,bwa
4711801,42.83365201,bwa
4711803,7.732313576,bwa
4711823,3.340344168,bwa
4711825,15.05314961,bwa
4711839,7.001912046,bwa
4711843,13.86073501,bwa
4711857,4.826003824,bwa
4711863,4.460784314,bwa
4711895,3.464627151,bwa
4711899,4.35,bwa
4711907,9.265774379,bwa
4711909,5.621832359,bwa
4711913,8.331417625,bwa
4711921,4.518304432,bwa
4711927,26.03441683,bwa
4711929,7.193050193,bwa
4711935,8.395038168,bwa
4711939,20.90648855,bwa
4711953,6.066793893,bwa
4711981,22.9082218,bwa
4711995,6.118320611,bwa
4711997,16.01908397,bwa
4712007,4.75,bwa
4712011,9.057251908,bwa
4712019,10.78816794,bwa
4712023,11.46641075,bwa
4712027,10.98854962,bwa
4712039,5.551526718,bwa
4712051,40.95229008,bwa
4712055,24.29961832,bwa
4712073,24.42285714,bwa
4712079,75.82666667,bwa
4712081,18.25904762,bwa
4712099,11.99809524,bwa
4712105,5.76,bwa
4712111,5.314285714,bwa
4712113,5.994285714,bwa
4712119,3.718095238,bwa
4712127,6.744761905,bwa
4712137,4.733716475,bwa
4712157,32.52380952,bwa
4712165,7.979047619,bwa
4712169,77.05333333,bwa
4712173,6.245714286,bwa
4712185,4.455238095,bwa
4712193,6.036190476,bwa
4712201,8.72952381,bwa
4712207,9.669230769,bwa
4712215,10.58365019,bwa
4712227,66.65209125,bwa
4712231,46.38403042,bwa
4712241,7.032319392,bwa
4712257,12.63878327,bwa
4712261,5.488593156,bwa
4712269,9.775665399,bwa
4712287,4.349809886,bwa
4712293,11.65779468,bwa
4712297,5.745247148,bwa
4712303,6.213872832,bwa
4712307,11.93726236,bwa
4712319,3.570342205,bwa
4712329,5.317490494,bwa
4712333,5.967680608,bwa
4712335,8.703422053,bwa
4712345,11.5095057,bwa
4712347,10.6539924,bwa
4712371,5.357414449,bwa
4712377,9.267326733,bwa
4712383,5.278937381,bwa
4712393,25.29981025,bwa
4712399,7.282982792,bwa
4712405,4.571157495,bwa
4712415,14.88425047,bwa
4712423,4.962049336,bwa
4712429,6.842504744,bwa
4712433,6.394686907,bwa
4712439,6.885277247,bwa
4712445,5.29601518,bwa
4712469,4.604961832,bwa
4712487,6.627218935,bwa
4712491,4.115530303,bwa
4712493,7.576699029,bwa
4712497,9.191287879,bwa
4712501,10.22011385,bwa
4712509,7.395833333,bwa
4712517,38.41856061,bwa
4712519,17.46212121,bwa
4712523,14.64962121,bwa
4712531,4.40719697,bwa
4712535,14.64962121,bwa
4712545,19.5426945,bwa
4712549,22.13825758,bwa
4712551,3.90719697,bwa
4712567,12.3655303,bwa
4712569,4.382575758,bwa
4712575,9.225378788,bwa
4712579,66.50189394,bwa
4712587,5.914772727,bwa
4712609,4.432485323,bwa
4712611,6.996212121,bwa
4712615,15.35606061,bwa
4712617,10.52462121,bwa
4712625,8.227703985,bwa
4712639,21.79395085,bwa
4712649,16.19560878,bwa
4712653,5.268431002,bwa
4712657,22.18714556,bwa
4712665,7.646502836,bwa
4712669,4.729678639,bwa
4712691,19.8979206,bwa
4712715,6.806818182,bwa
4712729,7.691871456,bwa
4712735,4.813229572,bwa
4712743,3.70510397,bwa
4712753,8.211720227,bwa
4712759,5.179584121,bwa
4712761,5.098298677,bwa
4712769,3.555765595,bwa
4712789,6.512287335,bwa
4712791,4.754253308,bwa
4712817,5.760377358,bwa
4712827,4.328301887,bwa
4712837,4.847169811,bwa
4712839,7.266798419,bwa
4712859,8.396226415,bwa
4712861,3.679245283,bwa
4712871,5.556603774,bwa
4712873,6.705660377,bwa
4712877,41.19622642,bwa
4712897,8.066037736,bwa
4712909,7.296226415,bwa
4712915,5.930188679,bwa
4712933,37.07924528,bwa
4712951,10.15630885,bwa
4712959,4.414312618,bwa
4712965,9.129943503,bwa
4712967,9.657250471,bwa
4712969,8.163809524,bwa
4713001,12.73446328,bwa
4713003,4.412429379,bwa
4713013,12.15630885,bwa
4713031,5.536723164,bwa
4713035,3.498069498,bwa
4713037,5.261770245,bwa
4713039,24.90018832,bwa
4713041,5.911487759,bwa
4713057,5.198863636,bwa
4713063,14.47080979,bwa
4713065,5.807909605,bwa
4713067,12.88846881,bwa
4713071,12.43314501,bwa
4713081,10.36327345,bwa
4713105,8.7,bwa
4713123,12.36466165,bwa
4713135,79.97363465,bwa
4713153,3.787593985,bwa
4713169,7.560150376,bwa
4713171,13.84557439,bwa
4713179,8.704887218,bwa
4713187,6.37406015,bwa
4713201,5.039473684,bwa
4713211,20.19172932,bwa
4713225,5.851503759,bwa
4713245,6.307692308,bwa
4713257,21.01313321,bwa
4713265,4.808630394,bwa
4713267,14.19324578,bwa
4713281,10.5891182,bwa
4713317,5.232645403,bwa
4713321,6.699619772,bwa
4713345,7.510318949,bwa
4713349,14.63602251,bwa
4713355,7.975609756,bwa
4713357,4.626641651,bwa
4713377,9.031835206,bwa
4713383,8.621722846,bwa
4713385,3.682926829,bwa
4713391,6.415730337,bwa
4713395,6.338951311,bwa
4713403,14.72097378,bwa
4713409,12.5917603,bwa
4713411,19.17228464,bwa
4713429,5.308988764,bwa
4713435,19.38649156,bwa
4713447,60.18574109,bwa
4713449,6.88576779,bwa
4713451,7.211610487,bwa
4713455,5.529962547,bwa
4713481,10.69475655,bwa
4713495,3.256554307,bwa
4713503,4.883895131,bwa
4713525,4.846728972,bwa
4713535,12.98691589,bwa
4713543,18.0862069,bwa
4713545,7.450757576,bwa
4713551,4.76635514,bwa
4713565,10.39285714,bwa
4713573,9.975700935,bwa
4713579,12.57196262,bwa
4713585,5.543925234,bwa
4713597,5.733962264,bwa
4713609,7.506542056,bwa
4713627,6.738317757,bwa
4713633,4.521495327,bwa
4713635,13.00186916,bwa
4713641,6.355140187,bwa
4713649,6.571962617,bwa
4713651,11.65671642,bwa
4713655,4.882129278,bwa
4713673,7.223880597,bwa
4713697,7.784274194,bwa
4713717,5.38619403,bwa
4713727,7.928143713,bwa
4713729,19.83925234,bwa
4713731,40.60074627,bwa
4713743,8.266791045,bwa
4713755,10.40298507,bwa
4713759,5.195895522,bwa
4713761,13.25,bwa
4713763,8.367537313,bwa
4713767,5.893656716,bwa
4713769,23.17977528,bwa
4713775,4.324951644,bwa
4713787,12.34514925,bwa
