Name,Contig Length,Average Depth,Percent Coverage,Max Depth
contig00001,8826,14.63,100,45
contig00002,8957,23.86,100,58
contig00003,8395,12.43,100,55
contig00004,8484,26.28,100,191
contig00005,7810,14.85,100,61
contig00006,8022,25.88,100,81
contig00007,7278,18.7,100,92
contig00008,7025,10.9,100,34
contig00009,7079,15.51,100,69
contig00010,7660,39.07,100,198
contig00011,6776,11.18,100,29
contig00012,6802,21.18,100,91
contig00013,6618,24.74,100,79
contig00014,6791,31.84,100,150
contig00015,6858,36.53,100,204
contig00016,6306,19.42,100,55
contig00017,6407,33.35,100,88
contig00018,5906,11.79,100,41
contig00019,6101,18.8,100,79
contig00020,6126,21.22,100,53
contig00021,6128,32.22,100,129
contig00022,5938,16.55,100,47
contig00023,6572,52.62,100,151
contig00024,5657,12.81,100,48
contig00025,6032,27.8,100,111
contig00026,5823,20.59,100,90
contig00027,5843,16.01,100,60
contig00028,6126,32.8,100,84
contig00029,5889,28.42,100,94
contig00030,5419,7.39,100,19
contig00031,5785,20.74,100,102
contig00032,5651,23.13,100,72
contig00033,5965,21.43,100,79
contig00034,5623,14.52,100,52
contig00035,5505,15.07,100,53
contig00036,5608,23.72,100,114
contig00037,5403,18.58,100,52
contig00038,5513,16.85,100,44
contig00039,5295,13.4,100,27
contig00040,5888,64.62,100,409
contig00041,6248,57.89,100,152
contig00042,6201,64.65,100,273
contig00043,5626,33.89,100,107
contig00044,5045,8.91,100,18
contig00045,5103,7.72,100,24
contig00046,5097,15.91,100,39
contig00047,5376,20.28,100,97
contig00048,5418,31.7,100,120
contig00049,5486,36.08,100,160
contig00050,5467,29.93,100,84
contig00051,5126,15.92,100,98
contig00052,5464,41.38,100,309
contig00053,5174,15.44,100,49
contig00054,5099,18.93,100,87
contig00055,5334,22.64,100,82
contig00056,5109,20.17,100,56
contig00057,5268,26.01,100,84
contig00058,6019,174.43,100,1201
contig00059,4799,11.05,100,45
contig00060,5146,34.68,100,133
contig00061,4700,9.94,100,28
contig00062,4953,14.17,100,36
contig00063,5523,46.99,100,122
contig00064,5542,80.86,100,464
contig00065,4765,15.19,100,48
contig00066,5123,28.25,100,100
contig00067,5805,83.34,100,277
contig00068,4893,31.2,100,59
contig00069,4579,12.89,100,25
contig00070,4982,24.36,100,44
contig00071,4770,16.24,100,56
contig00072,4690,14.97,100,55
contig00073,4907,31.13,100,87
contig00074,4670,9.73,100,29
contig00075,4788,18.94,100,54
contig00076,5299,43.03,100,164
contig00077,4701,13.46,100,55
contig00078,5450,72.93,100,239
contig00079,4596,12.28,100,29
contig00080,4804,20.77,100,76
contig00081,4480,16.47,100,31
contig00082,4594,12.07,100,24
contig00083,4643,14.65,100,61
contig00084,4976,34.58,100,158
contig00085,4477,9.17,100,38
contig00086,4620,13.75,100,34
contig00087,4629,18.19,100,83
contig00088,4674,14.81,100,39
contig00089,4684,48.74,100,103
contig00090,5246,67.62,100,228
contig00091,4758,20.27,100,82
contig00092,5348,103.69,100,486
contig00093,4680,23.01,100,87
contig00094,4595,16.38,100,38
contig00095,4591,19.54,100,66
contig00096,4547,22.43,100,68
contig00097,4517,16.96,100,50
contig00098,4568,15.8,100,54
contig00099,4501,12.51,100,29
contig00100,4635,20.06,100,66
contig00101,4341,22.15,100,40
contig00102,4215,6.32,100,12
contig00103,4344,11.4,100,35
contig00104,4386,16.79,100,35
contig00105,4228,8.5,100,24
contig00106,5001,52.04,100,131
contig00107,4610,26.51,100,57
contig00108,4268,9.31,100,22
contig00109,4241,13.98,100,28
contig00110,5336,94.17,100,358
contig00111,4432,17.04,100,59
contig00112,4348,13.5,100,27
contig00113,4154,12.07,100,27
contig00114,4625,26.6,100,55
contig00115,4522,23.88,100,49
contig00116,4199,10.41,100,22
contig00117,4357,22.7,100,124
contig00118,4441,26.12,100,80
contig00119,4648,43.65,100,137
contig00120,4213,12.41,100,35
contig00121,4277,17.01,100,62
contig00122,4779,52.68,100,192
contig00123,4193,11.94,100,42
contig00124,4181,12.46,100,43
contig00125,4538,34.82,100,91
contig00126,4173,13.09,100,47
