Contig_Name	Length
AgU000001_v1.1	8457
AgU000002_v1.1	8368
AgU000003_v1.1	8115
AgU000004_v1.1	7638
AgU000005_v1.1	7551
AgU000006_v1.1	7514
AgU000007_v1.1	6825
AgU000008_v1.1	6672
AgU000009_v1.1	6637
AgU000010_v1.1	6558
AgU000011_v1.1	6420
AgU000012_v1.1	6391
AgU000013_v1.1	6149
AgU000014_v1.1	6098
AgU000015_v1.1	6035
AgU000016_v1.1	6011
AgU000017_v1.1	5764
AgU000018_v1.1	5608
AgU000019_v1.1	5611
AgU000020_v1.1	5455
AgU000021_v1.1	5427
AgU000022_v1.1	5415
AgU000023_v1.1	5372
AgU000025_v1.1	5321
AgU000026_v1.1	5316
AgU000027_v1.1	5319
AgU000028_v1.1	5299
AgU000029_v1.1	5288
AgU000030_v1.1	5281
AgU000031_v1.1	5273
AgU000032_v1.1	5233
AgU000033_v1.1	5228
AgU000034_v1.1	5201
AgU000035_v1.1	5110
AgU000036_v1.1	5101
AgU000037_v1.1	5082
AgU000038_v1.1	5044
AgU000039_v1.1	5055
AgU000040_v1.1	5045
AgU000043_v1.1	4919
AgU000044_v1.1	4901
AgU000045_v1.1	4853
AgU000046_v1.1	4825
AgU000047_v1.1	4820
AgU000048_v1.1	4817
AgU000049_v1.1	4798
AgU000050_v1.1	4798
AgU000051_v1.1	4771
AgU000052_v1.1	4763
AgU000053_v1.1	4743
AgU000054_v1.1	4735
AgU000055_v1.1	4722
AgU000056_v1.1	4665
AgU000057_v1.1	4639
AgU000058_v1.1	4633
AgU000059_v1.1	4606
AgU000060_v1.1	4589
AgU000061_v1.1	4581
AgU000062_v1.1	4567
AgU000063_v1.1	4549
AgU000064_v1.1	4534
AgU000065_v1.1	4482
AgU000066_v1.1	4481
AgU000068_v1.1	4438
AgU000069_v1.1	4410
AgU000070_v1.1	4396
AgU000071_v1.1	4391
AgU000072_v1.1	4385
AgU000073_v1.1	4373
AgU000074_v1.1	4371
AgU000075_v1.1	4372
AgU000076_v1.1	4365
AgU000077_v1.1	4343
AgU000078_v1.1	4320
AgU000079_v1.1	4304
AgU000080_v1.1	4307
AgU000081_v1.1	4309
AgU000082_v1.1	4287
AgU000083_v1.1	4285
AgU000084_v1.1	4282
AgU000085_v1.1	4275
AgU000086_v1.1	4273
AgU000087_v1.1	4270
AgU000088_v1.1	4264
AgU000089_v1.1	4262
AgU000090_v1.1	4266
AgU000091_v1.1	4261
AgU000092_v1.1	4260
AgU000094_v1.1	4225
AgU000095_v1.1	4221
AgU000096_v1.1	4209
AgU000097_v1.1	4159
AgU000098_v1.1	4158
AgU000099_v1.1	4144
AgU000100_v1.1	4129
AgU000101_v1.1	4126
AgU000102_v1.1	4123
AgU000103_v1.1	4098
AgU000104_v1.1	4104
AgU000106_v1.1	4101
AgU000107_v1.1	4096
AgU000108_v1.1	4071
AgU000109_v1.1	4064
AgU000110_v1.1	4057
AgU000111_v1.1	4060
AgU000112_v1.1	4052
AgU000113_v1.1	4027
AgU000114_v1.1	4018
AgU000115_v1.1	4001
AgU000116_v1.1	3994
AgU000117_v1.1	3988
AgU000118_v1.1	3992
AgU000119_v1.1	3968
AgU000120_v1.1	3955
AgU000121_v1.1	3953
AgU000122_v1.1	3949
AgU000123_v1.1	3948
AgU000124_v1.1	3941
AgU000125_v1.1	3942
AgU000126_v1.1	3924
AgU000127_v1.1	3921
AgU000128_v1.1	3917
AgU000129_v1.1	3902
AgU000130_v1.1	3905
AgU000131_v1.1	3898
AgU000132_v1.1	3893
AgU000133_v1.1	3892
AgU000134_v1.1	3885
AgU000135_v1.1	3873
AgU000136_v1.1	3873
AgU000137_v1.1	3863
AgU000138_v1.1	3848
AgU000139_v1.1	3853
AgU000140_v1.1	3846
AgU000141_v1.1	3845
AgU000143_v1.1	3833
AgU000144_v1.1	3829
AgU000145_v1.1	3829
AgU000146_v1.1	3818
AgU000147_v1.1	3806
AgU000148_v1.1	3802
AgU000150_v1.1	3779
AgU000151_v1.1	3773
AgU000152_v1.1	3771
AgU000153_v1.1	3745
AgU000154_v1.1	3750
AgU000155_v1.1	3757
AgU000156_v1.1	3743
AgU000157_v1.1	3736
AgU000159_v1.1	3739
AgU000160_v1.1	3730
AgU000161_v1.1	3722
AgU000162_v1.1	3729
AgU000163_v1.1	3722
AgU000164_v1.1	3721
AgU000165_v1.1	3708
AgU000166_v1.1	3709
AgU000167_v1.1	3717
AgU000168_v1.1	3692
AgU000169_v1.1	3687
AgU000170_v1.1	3687
AgU000171_v1.1	3679
AgU000172_v1.1	3662
AgU000173_v1.1	3655
AgU000174_v1.1	3652
AgU000175_v1.1	3649
AgU000176_v1.1	3648
AgU000177_v1.1	3642
AgU000178_v1.1	3641
AgU000179_v1.1	3631
AgU000180_v1.1	3641
AgU000181_v1.1	3633
AgU000182_v1.1	3620
AgU000183_v1.1	3633
AgU000184_v1.1	3633
AgU000185_v1.1	3625
AgU000187_v1.1	3618
AgU000188_v1.1	3616
AgU000189_v1.1	3610
AgU000190_v1.1	3610
AgU000191_v1.1	3606
AgU000192_v1.1	3610
AgU000193_v1.1	3601
AgU000194_v1.1	3597
AgU000195_v1.1	3601
AgU000196_v1.1	3589
AgU000197_v1.1	3588
AgU000198_v1.1	3586
AgU000199_v1.1	3585
AgU000200_v1.1	3578
AgU000201_v1.1	3576
AgU000202_v1.1	3570
AgU000204_v1.1	3565
AgU000205_v1.1	3560
AgU000206_v1.1	3559
AgU000207_v1.1	3553
AgU000208_v1.1	3554
AgU000209_v1.1	3527
AgU000210_v1.1	3537
AgU000211_v1.1	3537
AgU000212_v1.1	3530
AgU000213_v1.1	3525
AgU000214_v1.1	3525
AgU000215_v1.1	3519
AgU000216_v1.1	3527
AgU000217_v1.1	3515
AgU000218_v1.1	3515
AgU000219_v1.1	3504
AgU000220_v1.1	3503
AgU000221_v1.1	3502
AgU000222_v1.1	3498
AgU000223_v1.1	3499
AgU000224_v1.1	3488
AgU000225_v1.1	3486
AgU000226_v1.1	3487
AgU000227_v1.1	3486
AgU000228_v1.1	3479
AgU000229_v1.1	3479
AgU000232_v1.1	3473
AgU000234_v1.1	3462
AgU000235_v1.1	3461
AgU000236_v1.1	3460
AgU000237_v1.1	3455
AgU000238_v1.1	3450
AgU000239_v1.1	3445
AgU000240_v1.1	3445
AgU000241_v1.1	3437
AgU000242_v1.1	3432
AgU000243_v1.1	3428
AgU000244_v1.1	3426
AgU000245_v1.1	3424
AgU000246_v1.1	3413
AgU000247_v1.1	3406
AgU000248_v1.1	3409
AgU000249_v1.1	3406
AgU000250_v1.1	3407
AgU000251_v1.1	3393
AgU000252_v1.1	3400
AgU000254_v1.1	3395
AgU000255_v1.1	3382
AgU000256_v1.1	3384
AgU000257_v1.1	3383
AgU000258_v1.1	3382
AgU000259_v1.1	3368
AgU000260_v1.1	3369
AgU000261_v1.1	3370
